smell_type,severity,LOC,NOM,LOC_method,CYCLO_method,NOP_method,NEST,TOKEN_COUNT,LENGTH,FAN_IN,FAN_OUT,ATTR_COUNT,INHERIT_DEPTH
LongMethod,2,0,0,87,16,9,4,782,109,0,26,0,0
NoneSmellorUnknown,0,0,0,7,3,1,1,43,7,0,1,0,0
DeepNesting,3,0,0,155,25,3,12,1081,172,0,40,0,0
LargeClass,2,515,13,0,0,0,0,1794,515,0,79,10,2
LongParameterList,2,0,0,24,15,8,4,183,35,0,11,0,0
LargeClass,3,1138,19,0,0,0,0,4686,1138,0,121,14,7
LargeClass,3,545,42,0,0,0,0,3508,545,0,59,0,0
LongParameterList,1,0,0,57,7,7,1,307,74,0,9,0,0
LongParameterList,2,0,0,34,8,11,1,176,58,0,0,0,0
DeepNesting,1,0,0,65,10,0,4,519,90,0,6,0,0
LongParameterList,2,0,0,260,25,9,5,1099,322,0,30,0,0
LongParameterList,1,0,0,54,11,6,0,355,61,0,0,0,0
DeepNesting,2,0,0,23,7,2,6,144,25,0,4,0,0
LongMethod,1,0,0,64,16,2,5,301,77,0,16,0,0
DeepNesting,3,0,0,101,25,1,8,596,103,0,31,0,0
LongMethod,2,0,0,88,12,5,2,307,96,0,5,0,0
LongParameterList,1,0,0,41,6,14,1,273,46,0,7,0,0
LargeClass,1,203,10,0,0,0,0,918,203,0,13,3,1
DeepNesting,1,0,0,27,7,2,4,77,28,0,0,0,0
LargeClass,1,299,15,0,0,0,0,1564,299,0,41,12,2
DeepNesting,2,0,0,21,10,2,6,266,24,0,5,0,0
NoneSmellorUnknown,0,0,0,14,1,6,0,54,14,0,0,0,0
LongMethod,3,0,0,192,25,11,13,975,209,0,19,0,0
LongParameterList,1,0,0,69,8,6,3,234,82,0,0,0,0
LargeClass,1,288,23,0,0,0,0,1278,288,0,42,4,2
LongParameterList,3,0,0,58,25,10,3,258,65,0,15,0,0
LongParameterList,3,0,0,62,25,11,3,279,68,0,19,0,0
DeepNesting,2,0,0,15,7,4,6,81,15,0,1,0,0
LargeClass,1,266,13,0,0,0,0,1269,266,0,52,0,2
LongMethod,3,0,0,112,24,5,4,569,187,0,51,0,0
DeepNesting,3,0,0,76,25,5,10,651,100,0,19,0,0
LongMethod,3,0,0,119,25,9,2,618,158,0,61,0,0
LongParameterList,3,0,0,39,16,11,5,503,49,0,19,0,0
LongMethod,1,0,0,62,12,2,2,338,89,0,14,0,0
LongParameterList,2,0,0,68,23,8,4,450,92,0,9,0,0
LargeClass,1,719,10,0,0,0,0,2849,719,0,122,22,4
LargeClass,3,607,25,0,0,0,0,4720,607,0,90,1,1
NoneSmellorUnknown,0,0,0,13,1,4,1,191,18,0,0,0,0
NoneSmellorUnknown,0,0,0,11,3,2,2,73,11,0,0,0,0
LongMethod,2,0,0,77,13,5,5,281,83,0,6,0,0
LongParameterList,2,0,0,56,17,8,3,516,73,0,19,0,0
NoneSmellorUnknown,0,5,1,0,0,0,0,14,5,0,0,0,1
LargeClass,3,2706,187,0,0,0,0,19288,2706,0,884,8,0
LargeClass,2,313,14,0,0,0,0,1474,313,0,18,0,2
LargeClass,1,273,12,0,0,0,0,1246,273,0,21,12,3
LongMethod,1,0,0,63,18,3,2,360,97,0,15,0,0
LongMethod,3,0,0,160,25,16,4,1281,243,0,34,0,0
DeepNesting,1,0,0,13,5,4,4,91,13,0,1,0,0
DeepNesting,3,0,0,23,13,1,8,154,24,0,4,0,0
LongParameterList,3,0,0,53,15,15,5,539,60,0,16,0,0
LongParameterList,1,0,0,33,10,6,2,213,35,0,7,0,0
DeepNesting,3,0,0,212,25,0,22,1435,219,0,3,0,0
DeepNesting,3,0,0,109,21,1,8,569,140,0,25,0,0
NoneSmellorUnknown,0,0,0,11,1,2,0,25,11,0,0,0,0
